SleepTime,MoodScore,ActivityTime,Caffeine,PhoneTime,PM10,Temp,Humidity,profile_type
6.048563716320125,47.20686871723747,2.73762816966549,4,4.217043718086263,35,29.1,72.1,weekend_bonus_sleep
9.397728816578976,75.27292581457085,1.6158041640689338,1,6.316119271321822,25,29.1,68.9,weekend_bonus_sleep
9.677491405474692,62.46496478287548,2.5308200478250047,3,5.2340584807589865,25,28.3,71.8,weekend_bonus_sleep
9.443632016722376,63.57077272192879,2.3310108239876923,2,6.658539695618757,23,29.5,69.8,weekend_bonus_sleep
9.203927440451391,63.196104958740364,5.362071859943907,0,5.654985095923911,19,27.6,80.3,weekend_bonus_sleep
8.517465330255511,57.7901062811372,5.989227708267084,2,3.9748695920609567,12,24.8,91.3,weekend_bonus_sleep
9.408845239130036,69.43085319131049,3.1381956374794706,2,5.324313187320108,5,25.1,84.8,weekend_bonus_sleep
9.14469583743325,64.26572930267643,2.052392181299757,1,5.593974110750043,9,26.5,77.9,weekend_bonus_sleep
9.725081447010643,63.98100767838914,2.5451526363347754,3,4.016008800240274,37,26.4,72.3,weekend_bonus_sleep
10.0,76.03130790593337,2.974746446980522,3,5.679127113784567,26,26.1,75.0,weekend_bonus_sleep
10.0,75.06908347131113,3.2349099274931428,4,6.518022490075475,13,22.7,87.5,weekend_bonus_sleep
9.57530367644637,68.48160165853389,1.3666414753750016,4,4.917781996647062,15,23.9,89.6,weekend_bonus_sleep
9.825396601558746,59.75097615378824,3.544989182576957,1,5.960364488060855,17,22.8,88.0,weekend_bonus_sleep
9.215546849697951,72.84048852961263,3.3473215457098036,3,3.365462972013084,20,23.9,76.9,weekend_bonus_sleep
9.39978366521538,59.28842937351354,4.728330336880621,4,5.125929742438131,25,24.5,70.6,weekend_bonus_sleep
9.253357424071476,66.88508622716914,3.440555371260892,4,3.6564400735494473,27,25.4,63.9,weekend_bonus_sleep
9.189826541798864,56.784261344873855,2.2250742898673805,4,3.5212699923469266,16,25.8,77.8,weekend_bonus_sleep
8.171952087931354,61.150731016146324,0.7719740939278621,0,4.948302047873949,16,27.0,79.9,weekend_bonus_sleep
9.362738800356574,69.29824247982997,5.119669503677978,3,3.6789880275522,16,28.5,69.5,weekend_bonus_sleep
9.437901491258945,61.30586328021488,3.77970494224014,1,4.576880204744493,15,27.9,65.1,weekend_bonus_sleep
10.0,74.65791003578369,4.894687619786531,2,4.184966977567198,16,26.3,54.8,weekend_bonus_sleep
8.19745357150908,67.73607438058859,2.0336854879454616,0,4.818498245775273,16,25.3,60.3,weekend_bonus_sleep
8.79842459200243,65.45183361489887,1.8865890721297423,2,3.5184414315109205,28,25.8,66.3,weekend_bonus_sleep
9.698874491465832,68.38644331454658,3.5539117185517526,3,6.582963058057656,34,25.7,68.1,weekend_bonus_sleep
7.745721559002718,71.5413554099674,5.529996677928661,1,2.881567474505749,29,25.5,67.3,weekend_bonus_sleep
9.361411356341844,73.26302654902751,3.95286487915759,0,5.746087648255506,28,25.7,69.8,weekend_bonus_sleep
9.737510537379992,73.66312743856476,6.506902611312575,4,6.171287323140637,21,22.1,84.5,weekend_bonus_sleep
9.124879563785528,64.11077245128048,3.4319485230154805,2,5.217068975166433,6,23.4,72.4,weekend_bonus_sleep
9.579038122195513,76.23745172019996,3.6167978994065404,2,3.7999141329799215,8,22.3,82.3,weekend_bonus_sleep
9.421493582677343,58.68474780697527,4.281535278033248,4,4.792200205383588,10,23.9,87.8,weekend_bonus_sleep
9.060423147112715,57.918455076468575,0.9491202830485239,4,5.86636866926352,12,24.7,84.8,weekend_bonus_sleep
9.064606954164846,62.77627557555992,2.4375062011819497,2,6.052653324166132,16,24.7,79.1,weekend_bonus_sleep
8.903729056197248,66.10933113187698,2.697839116714865,1,5.82927362746318,26,24.1,81.1,weekend_bonus_sleep
9.44708484090409,72.37884525538152,2.1141098315647384,1,5.783120480014247,19,20.6,90.4,weekend_bonus_sleep
9.465064630104516,72.60050144377013,5.035669810160437,0,6.76864981250473,9,20.1,70.9,weekend_bonus_sleep
9.638323602696362,78.89009885361857,6.335010702513191,1,4.564331714863143,19,20.5,68.4,weekend_bonus_sleep
8.23410185704569,67.83119946986827,3.36004137750798,4,5.059945368171855,16,21.8,63.9,weekend_bonus_sleep
8.056044790968567,63.72532909189561,4.194002099528592,1,5.292943653779188,10,21.8,56.4,weekend_bonus_sleep
8.488198740078985,69.22865668425142,1.7277288956343644,1,4.045261686208108,11,21.6,66.4,weekend_bonus_sleep
