SleepTime,MoodScore,ActivityTime,Caffeine,PhoneTime,PM10,Temp,Humidity,profile_type,ConditionLabel
7.525989574890921,47.84320725998632,1.5895192820767794,1,2.151468100046969,12,27.0,78.4,env_sensitive_season,1
9.882107296061411,75.86265892464642,6.410620059163363,0,4.717833915218915,26,26.1,75.0,caffeine_sensitive,5
8.857084114976688,70.69431790616872,4.5725140834478175,2,5.025977593588912,32,-6.8,53.4,env_sensitive_season,3
8.841945263182106,69.29397424087611,3.593734310999832,0,2.7112828280791472,26,18.3,67.0,weekday_baseline,3
9.420945169554525,72.89993101670143,5.166767790394742,3,5.006723694696093,25,29.1,68.9,deadline_high_stress,4
9.13554163234626,59.47979181928011,3.901204173582357,4,4.974917086333279,30,17.9,55.6,weekday_baseline,1
8.230650048473256,70.83500808836139,3.070718292577622,0,3.194146554596725,10,5.8,86.4,weekday_baseline,3
9.724611290783365,84.35911550705454,5.680180816044553,3,3.711502787292893,30,14.2,46.1,env_sensitive_season,5
9.252487749412197,67.31345768030339,4.378419061266714,1,2.1262982120694005,23,20.4,60.0,caffeine_sensitive,2
9.367335076433552,74.71180395972485,5.755849884255616,4,5.667304874313616,9,21.5,90.1,weekend_bonus_sleep,4
7.630030990720104,56.71727002472511,1.7962138911964909,3,4.289014294890706,89,5.0,77.1,owl_chronotype,1
10.0,74.4155769979018,5.989107130225033,2,5.616326320371266,54,1.2,69.5,env_sensitive_season,4
8.97021518156993,66.42467232843329,5.962806107276146,4,4.554045887046645,15,20.4,54.8,weekday_baseline,2
10.0,70.68034159186263,4.411075032362687,4,4.598482023445422,13,5.4,65.4,weekend_bonus_sleep,3
8.72342835733051,72.70722784569313,5.886070710096131,4,3.6185233093239177,26,14.7,84.9,env_sensitive_season,4
8.342459120772062,66.52950012197398,3.718098503358749,2,4.545885868440208,16,10.4,54.8,owl_chronotype,2
9.261398443953706,68.9692986927483,1.768122466722191,0,5.594045386570723,35,20.7,53.5,caffeine_sensitive,3
9.950555864566937,67.00245804510958,1.9493136012542052,3,5.977157445873688,12,6.8,74.1,deadline_high_stress,2
10.0,82.12137870339478,4.306627428687483,1,5.611310064160919,20,17.3,75.5,owl_chronotype,5
10.0,88.30501955155725,5.220861306693531,4,4.7921439253332245,66,12.7,48.6,weekday_baseline,5
10.0,76.41113211316743,7.74932961562847,1,5.647131045940106,38,12.2,32.0,caffeine_sensitive,5
9.362681081382426,78.91263429990964,4.01812632805359,0,4.085847808707085,10,2.8,80.8,caffeine_sensitive,5
8.853477569990412,68.00470775330567,4.306590286595654,3,3.6998332288837488,19,-3.4,52.9,env_sensitive_season,3
8.861009950298408,71.14337376837528,4.854911945046745,0,4.586013494845827,89,8.8,56.5,caffeine_sensitive,3
8.612570632361383,55.98698169788061,0.6758367754403651,2,5.045477216090186,61,20.5,68.9,weekend_bonus_sleep,1
9.323460391480475,60.23888006130522,4.488357959459462,4,3.0064876050883886,27,26.3,55.0,owl_chronotype,1
9.369888812657296,70.37674781475042,5.335019305413871,5,4.005252403995743,18,17.0,80.0,deadline_high_stress,3
10.0,62.55103819626344,6.088358374648453,3,3.7126757381999287,44,22.7,78.3,owl_chronotype,1
9.616762127557026,73.8345648429357,2.984539064659952,4,5.957741896205409,15,22.7,72.8,deadline_high_stress,4
8.24356318459131,54.5780341072372,2.765327184769266,1,4.958901322907347,19,19.3,70.3,weekend_bonus_sleep,1
8.87650397987283,63.24221645887621,4.9737907473388505,0,5.243079913680527,31,29.0,71.5,env_sensitive_season,2
10.0,61.95237836676414,0.9414669052274416,4,5.552781778498683,26,28.5,69.0,deadline_high_stress,1
10.0,76.6887544482616,4.852216554250824,4,5.884997311675243,34,20.1,75.1,deadline_high_stress,5
10.0,79.39056699000527,3.39539197487573,2,6.7381451109109545,3,1.9,92.5,owl_chronotype,5
8.6644780888248,64.11636050470037,6.084578442632288,1,3.0430932800709165,22,12.5,67.3,caffeine_sensitive,2
9.734086502634856,66.17459932892567,6.187272760135071,2,4.421013659115793,3,1.9,92.5,caffeine_sensitive,2
10.0,72.86722181615428,5.036840227743702,4,4.653032475472652,20,23.9,76.9,weekday_baseline,4
